customer_id,locality_id,customer_segment,age_group,preferred_cuisine,order_frequency,order_weight,order_probability
C00001,7,Family,26-35,Pizza,Occasional,1,0.00011160714285714285
C00002,4,Working Professional,26-35,North Indian,Frequent,4,0.0004464285714285714
C00003,8,Student,18-25,Momos,Regular,2,0.0002232142857142857
C00004,5,Student,18-25,North Indian,Regular,2,0.0002232142857142857
C00005,7,Student,18-25,Chinese,Occasional,1,0.00011160714285714285
C00006,10,Young Professional,36-45,Healthy,Occasional,1,0.00011160714285714285
C00007,3,Working Professional,46-55,North Indian,Occasional,1,0.00011160714285714285
C00008,7,Family,26-35,Chinese,Frequent,4,0.0004464285714285714
C00009,8,Working Professional,26-35,Biryani,Regular,2,0.0002232142857142857
C00010,5,Working Professional,26-35,South Indian,Regular,2,0.0002232142857142857
C00011,4,Student,18-25,Momos,Occasional,1,0.00011160714285714285
C00012,8,Student,18-25,Burgers,Frequent,4,0.0004464285714285714
C00013,8,Young Professional,36-45,Biryani,Regular,2,0.0002232142857142857
C00014,3,Working Professional,46-55,Biryani,Occasional,1,0.00011160714285714285
C00015,6,Working Professional,26-35,North Indian,Occasional,1,0.00011160714285714285
C00016,5,Young Professional,36-45,Biryani,Occasional,1,0.00011160714285714285
C00017,2,Student,46-55,Chinese,Occasional,1,0.00011160714285714285
C00018,8,Young Professional,18-25,South Indian,Regular,2,0.0002232142857142857
C00019,6,Working Professional,36-45,Healthy,Occasional,1,0.00011160714285714285
C00020,2,Working Professional,26-35,Burgers,Occasional,1,0.00011160714285714285
C00021,5,Working Professional,26-35,Biryani,Regular,2,0.0002232142857142857
C00022,1,Student,18-25,Biryani,Occasional,1,0.00011160714285714285
C00023,10,Student,36-45,Pizza,Occasional,1,0.00011160714285714285
C00024,6,Family,36-45,Chinese,Occasional,1,0.00011160714285714285
C00025,9,Young Professional,18-25,Pizza,Occasional,1,0.00011160714285714285
C00026,1,Family,26-35,North Indian,Regular,2,0.0002232142857142857
C00027,10,Student,18-25,Cafe,Occasional,1,0.00011160714285714285
C00028,3,Working Professional,46-55,Biryani,Regular,2,0.0002232142857142857
C00029,7,Student,26-35,Burgers,Regular,2,0.0002232142857142857
C00030,4,Student,36-45,Burgers,Occasional,1,0.00011160714285714285
C00031,9,Family,26-35,North Indian,Regular,2,0.0002232142857142857
C00032,3,Working Professional,18-25,Desserts,Occasional,1,0.00011160714285714285
C00033,5,Student,18-25,Momos,Occasional,1,0.00011160714285714285
C00034,3,Student,18-25,Momos,Frequent,4,0.0004464285714285714
C00035,7,Young Professional,18-25,Burgers,Frequent,4,0.0004464285714285714
C00036,5,Student,26-35,Biryani,Regular,2,0.0002232142857142857
C00037,9,Working Professional,18-25,North Indian,Occasional,1,0.00011160714285714285
C00038,7,Working Professional,26-35,Chinese,Occasional,1,0.00011160714285714285
C00039,2,Student,26-35,Momos,Regular,2,0.0002232142857142857
C00040,4,Student,26-35,Pizza,Occasional,1,0.00011160714285714285
C00041,9,Working Professional,36-45,Biryani,Occasional,1,0.00011160714285714285
C00042,2,Family,26-35,Biryani,Occasional,1,0.00011160714285714285
C00043,10,Working Professional,56+,Momos,Occasional,1,0.00011160714285714285
C00044,9,Family,18-25,North Indian,Frequent,4,0.0004464285714285714
C00045,10,Young Professional,26-35,Chinese,Occasional,1,0.00011160714285714285
C00046,5,Family,26-35,North Indian,Regular,2,0.0002232142857142857
C00047,2,Working Professional,26-35,Burgers,Occasional,1,0.00011160714285714285
C00048,4,Working Professional,36-45,Cafe,Regular,2,0.0002232142857142857
C00049,7,Family,26-35,Chinese,Regular,2,0.0002232142857142857
C00050,8,Family,26-35,South Indian,Occasional,1,0.00011160714285714285
C00051,3,Working Professional,26-35,Biryani,Frequent,4,0.0004464285714285714
C00052,1,Family,56+,South Indian,Regular,2,0.0002232142857142857
C00053,4,Student,46-55,Biryani,Frequent,4,0.0004464285714285714
C00054,2,Working Professional,26-35,Chinese,Frequent,4,0.0004464285714285714
C00055,8,Student,18-25,Momos,Regular,2,0.0002232142857142857
C00056,4,Student,46-55,Biryani,Frequent,4,0.0004464285714285714
C00057,2,Student,56+,Momos,Occasional,1,0.00011160714285714285
C00058,6,Family,18-25,South Indian,Occasional,1,0.00011160714285714285
C00059,6,Working Professional,26-35,Biryani,Occasional,1,0.00011160714285714285
C00060,10,Student,46-55,Burgers,Occasional,1,0.00011160714285714285
C00061,4,Working Professional,36-45,South Indian,Occasional,1,0.00011160714285714285
C00062,6,Working Professional,18-25,Momos,Occasional,1,0.00011160714285714285
C00063,2,Student,26-35,Pizza,Regular,2,0.0002232142857142857
C00064,10,Family,46-55,Chinese,Occasional,1,0.00011160714285714285
C00065,2,Family,36-45,South Indian,Occasional,1,0.00011160714285714285
C00066,10,Family,36-45,Biryani,Regular,2,0.0002232142857142857
C00067,4,Family,36-45,Burgers,Occasional,1,0.00011160714285714285
C00068,8,Working Professional,18-25,Chinese,Regular,2,0.0002232142857142857
C00069,7,Student,36-45,Burgers,Occasional,1,0.00011160714285714285
C00070,9,Student,18-25,Momos,Frequent,4,0.0004464285714285714
C00071,8,Student,46-55,Pizza,Regular,2,0.0002232142857142857
C00072,5,Young Professional,26-35,Biryani,Occasional,1,0.00011160714285714285
C00073,2,Student,46-55,Momos,Occasional,1,0.00011160714285714285
C00074,5,Student,18-25,Pizza,Regular,2,0.0002232142857142857
C00075,8,Young Professional,26-35,Momos,Regular,2,0.0002232142857142857
C00076,10,Young Professional,18-25,Desserts,Regular,2,0.0002232142857142857
C00077,9,Family,36-45,North Indian,Regular,2,0.0002232142857142857
C00078,9,Student,46-55,Burgers,Occasional,1,0.00011160714285714285
C00079,1,Student,36-45,Burgers,Occasional,1,0.00011160714285714285
C00080,9,Working Professional,26-35,Pizza,Occasional,1,0.00011160714285714285
C00081,7,Student,18-25,Cafe,Frequent,4,0.0004464285714285714
C00082,9,Student,46-55,Pizza,Regular,2,0.0002232142857142857
C00083,8,Working Professional,36-45,North Indian,Occasional,1,0.00011160714285714285
C00084,1,Young Professional,36-45,Burgers,Occasional,1,0.00011160714285714285
C00085,8,Working Professional,36-45,Chinese,Occasional,1,0.00011160714285714285
C00086,8,Family,36-45,North Indian,Occasional,1,0.00011160714285714285
C00087,3,Family,26-35,Biryani,Regular,2,0.0002232142857142857
C00088,1,Student,36-45,Momos,Regular,2,0.0002232142857142857
C00089,8,Family,26-35,Healthy,Frequent,4,0.0004464285714285714
C00090,3,Student,46-55,Chinese,Occasional,1,0.00011160714285714285
C00091,3,Student,36-45,Cafe,Occasional,1,0.00011160714285714285
C00092,1,Family,18-25,Burgers,Regular,2,0.0002232142857142857
C00093,5,Student,26-35,Momos,Regular,2,0.0002232142857142857
C00094,10,Young Professional,18-25,Momos,Regular,2,0.0002232142857142857
C00095,7,Student,18-25,Biryani,Regular,2,0.0002232142857142857
C00096,10,Working Professional,26-35,Healthy,Occasional,1,0.00011160714285714285
C00097,9,Working Professional,46-55,Chinese,Regular,2,0.0002232142857142857
C00098,7,Student,18-25,Pizza,Occasional,1,0.00011160714285714285
C00099,9,Student,26-35,Biryani,Occasional,1,0.00011160714285714285
C00100,8,Family,46-55,South Indian,Occasional,1,0.00011160714285714285
C00101,2,Young Professional,36-45,Healthy,Occasional,1,0.00011160714285714285
C00102,1,Young Professional,26-35,Biryani,Regular,2,0.0002232142857142857
C00103,7,Working Professional,36-45,Biryani,Occasional,1,0.00011160714285714285
C00104,7,Family,26-35,Chinese,Regular,2,0.0002232142857142857
C00105,8,Family,18-25,Pizza,Frequent,4,0.0004464285714285714
C00106,5,Family,18-25,Healthy,Occasional,1,0.00011160714285714285
C00107,3,Working Professional,18-25,North Indian,Occasional,1,0.00011160714285714285
C00108,8,Family,26-35,Chinese,Regular,2,0.0002232142857142857
C00109,6,Young Professional,46-55,Chinese,Occasional,1,0.00011160714285714285
C00110,3,Working Professional,36-45,Cafe,Occasional,1,0.00011160714285714285
C00111,1,Young Professional,26-35,Cafe,Occasional,1,0.00011160714285714285
C00112,3,Working Professional,26-35,South Indian,Occasional,1,0.00011160714285714285
C00113,5,Student,18-25,Pizza,Frequent,4,0.0004464285714285714
C00114,3,Student,36-45,Pizza,Regular,2,0.0002232142857142857
C00115,1,Working Professional,36-45,Desserts,Regular,2,0.0002232142857142857
C00116,5,Working Professional,18-25,Pizza,Frequent,4,0.0004464285714285714
C00117,10,Young Professional,18-25,Desserts,Regular,2,0.0002232142857142857
C00118,7,Student,26-35,Pizza,Occasional,1,0.00011160714285714285
C00119,7,Young Professional,26-35,South Indian,Frequent,4,0.0004464285714285714
C00120,9,Young Professional,26-35,Biryani,Regular,2,0.0002232142857142857
C00121,10,Student,26-35,Cafe,Regular,2,0.0002232142857142857
C00122,10,Young Professional,26-35,North Indian,Frequent,4,0.0004464285714285714
C00123,3,Young Professional,18-25,Chinese,Occasional,1,0.00011160714285714285
C00124,7,Family,26-35,Momos,Occasional,1,0.00011160714285714285
C00125,1,Family,26-35,Biryani,Occasional,1,0.00011160714285714285
C00126,4,Young Professional,46-55,Chinese,Occasional,1,0.00011160714285714285
C00127,4,Family,56+,Biryani,Regular,2,0.0002232142857142857
C00128,5,Working Professional,46-55,Healthy,Frequent,4,0.0004464285714285714
C00129,7,Young Professional,36-45,Desserts,Occasional,1,0.00011160714285714285
C00130,7,Family,26-35,Desserts,Regular,2,0.0002232142857142857
C00131,4,Working Professional,36-45,Biryani,Occasional,1,0.00011160714285714285
C00132,7,Student,46-55,Biryani,Occasional,1,0.00011160714285714285
C00133,3,Family,18-25,North Indian,Occasional,1,0.00011160714285714285
C00134,6,Student,26-35,Burgers,Occasional,1,0.00011160714285714285
C00135,2,Young Professional,36-45,Pizza,Frequent,4,0.0004464285714285714
C00136,10,Working Professional,36-45,Burgers,Occasional,1,0.00011160714285714285
C00137,9,Student,18-25,Burgers,Regular,2,0.0002232142857142857
C00138,5,Working Professional,26-35,Healthy,Regular,2,0.0002232142857142857
C00139,6,Student,36-45,Pizza,Occasional,1,0.00011160714285714285
C00140,4,Family,26-35,Momos,Frequent,4,0.0004464285714285714
C00141,10,Young Professional,36-45,Chinese,Frequent,4,0.0004464285714285714
C00142,7,Young Professional,26-35,Burgers,Occasional,1,0.00011160714285714285
C00143,9,Student,46-55,Cafe,Occasional,1,0.00011160714285714285
C00144,7,Student,26-35,Chinese,Occasional,1,0.00011160714285714285
C00145,1,Young Professional,26-35,Cafe,Occasional,1,0.00011160714285714285
C00146,1,Young Professional,18-25,Cafe,Occasional,1,0.00011160714285714285
C00147,9,Working Professional,18-25,Pizza,Regular,2,0.0002232142857142857
C00148,9,Working Professional,26-35,Pizza,Regular,2,0.0002232142857142857
C00149,4,Working Professional,26-35,South Indian,Occasional,1,0.00011160714285714285
C00150,9,Young Professional,26-35,Chinese,Occasional,1,0.00011160714285714285
C00151,3,Family,18-25,Pizza,Frequent,4,0.0004464285714285714
C00152,7,Student,46-55,Chinese,Occasional,1,0.00011160714285714285
C00153,6,Student,36-45,North Indian,Occasional,1,0.00011160714285714285
C00154,8,Young Professional,18-25,Healthy,Occasional,1,0.00011160714285714285
C00155,9,Student,26-35,Biryani,Frequent,4,0.0004464285714285714
C00156,5,Working Professional,36-45,North Indian,Occasional,1,0.00011160714285714285
C00157,1,Working Professional,26-35,Biryani,Regular,2,0.0002232142857142857
C00158,3,Student,26-35,Momos,Regular,2,0.0002232142857142857
C00159,10,Student,36-45,Biryani,Occasional,1,0.00011160714285714285
C00160,8,Young Professional,18-25,Healthy,Regular,2,0.0002232142857142857
C00161,6,Young Professional,26-35,Burgers,Occasional,1,0.00011160714285714285
C00162,8,Young Professional,18-25,Burgers,Regular,2,0.0002232142857142857
C00163,9,Young Professional,26-35,Biryani,Regular,2,0.0002232142857142857
C00164,4,Working Professional,18-25,Pizza,Regular,2,0.0002232142857142857
C00165,1,Young Professional,46-55,Biryani,Occasional,1,0.00011160714285714285
C00166,1,Working Professional,26-35,South Indian,Regular,2,0.0002232142857142857
C00167,10,Family,18-25,Cafe,Occasional,1,0.00011160714285714285
C00168,4,Young Professional,26-35,Burgers,Occasional,1,0.00011160714285714285
C00169,7,Student,18-25,Healthy,Occasional,1,0.00011160714285714285
C00170,2,Working Professional,26-35,Pizza,Regular,2,0.0002232142857142857
C00171,3,Working Professional,26-35,Chinese,Regular,2,0.0002232142857142857
C00172,1,Student,18-25,Cafe,Occasional,1,0.00011160714285714285
C00173,5,Student,18-25,Pizza,Regular,2,0.0002232142857142857
C00174,1,Young Professional,26-35,Burgers,Occasional,1,0.00011160714285714285
C00175,8,Young Professional,18-25,Chinese,Regular,2,0.0002232142857142857
C00176,1,Working Professional,36-45,Biryani,Occasional,1,0.00011160714285714285
C00177,1,Student,26-35,Chinese,Regular,2,0.0002232142857142857
C00178,2,Student,26-35,Cafe,Occasional,1,0.00011160714285714285
C00179,2,Young Professional,26-35,Chinese,Frequent,4,0.0004464285714285714
C00180,6,Working Professional,26-35,Pizza,Occasional,1,0.00011160714285714285
C00181,7,Working Professional,46-55,Pizza,Occasional,1,0.00011160714285714285
C00182,5,Working Professional,18-25,Healthy,Occasional,1,0.00011160714285714285
C00183,1,Working Professional,18-25,Biryani,Frequent,4,0.0004464285714285714
C00184,1,Working Professional,18-25,Momos,Frequent,4,0.0004464285714285714
C00185,3,Young Professional,18-25,Burgers,Occasional,1,0.00011160714285714285
C00186,2,Working Professional,18-25,Healthy,Regular,2,0.0002232142857142857
C00187,5,Family,36-45,Biryani,Regular,2,0.0002232142857142857
C00188,10,Working Professional,26-35,Cafe,Regular,2,0.0002232142857142857
C00189,6,Family,56+,Chinese,Regular,2,0.0002232142857142857
C00190,7,Family,18-25,Pizza,Occasional,1,0.00011160714285714285
C00191,4,Student,26-35,Burgers,Occasional,1,0.00011160714285714285
C00192,7,Working Professional,56+,Biryani,Frequent,4,0.0004464285714285714
C00193,8,Student,46-55,South Indian,Frequent,4,0.0004464285714285714
C00194,1,Young Professional,26-35,Biryani,Regular,2,0.0002232142857142857
C00195,6,Working Professional,26-35,Biryani,Occasional,1,0.00011160714285714285
C00196,8,Young Professional,46-55,Momos,Occasional,1,0.00011160714285714285
C00197,5,Student,26-35,Chinese,Regular,2,0.0002232142857142857
C00198,4,Family,18-25,Chinese,Frequent,4,0.0004464285714285714
C00199,2,Family,36-45,Pizza,Frequent,4,0.0004464285714285714
C00200,6,Family,26-35,Healthy,Regular,2,0.0002232142857142857
C00201,6,Working Professional,18-25,South Indian,Regular,2,0.0002232142857142857
C00202,1,Working Professional,26-35,North Indian,Occasional,1,0.00011160714285714285
C00203,9,Family,26-35,Chinese,Occasional,1,0.00011160714285714285
C00204,6,Student,46-55,Momos,Frequent,4,0.0004464285714285714
C00205,3,Student,18-25,Burgers,Regular,2,0.0002232142857142857
C00206,4,Working Professional,46-55,Chinese,Occasional,1,0.00011160714285714285
C00207,4,Working Professional,26-35,Chinese,Occasional,1,0.00011160714285714285
C00208,3,Student,26-35,Chinese,Regular,2,0.0002232142857142857
C00209,10,Student,18-25,Pizza,Occasional,1,0.00011160714285714285
C00210,3,Student,36-45,North Indian,Occasional,1,0.00011160714285714285
C00211,3,Family,46-55,Biryani,Regular,2,0.0002232142857142857
C00212,4,Family,26-35,Cafe,Regular,2,0.0002232142857142857
C00213,7,Young Professional,18-25,Momos,Regular,2,0.0002232142857142857
C00214,4,Young Professional,26-35,Burgers,Occasional,1,0.00011160714285714285
C00215,9,Working Professional,36-45,Cafe,Regular,2,0.0002232142857142857
C00216,1,Student,18-25,Pizza,Occasional,1,0.00011160714285714285
C00217,8,Student,26-35,South Indian,Occasional,1,0.00011160714285714285
C00218,7,Student,26-35,Burgers,Regular,2,0.0002232142857142857
C00219,2,Young Professional,26-35,Momos,Regular,2,0.0002232142857142857
C00220,8,Working Professional,26-35,Biryani,Regular,2,0.0002232142857142857
C00221,1,Student,18-25,Pizza,Regular,2,0.0002232142857142857
C00222,9,Working Professional,36-45,Biryani,Regular,2,0.0002232142857142857
C00223,9,Working Professional,26-35,Momos,Occasional,1,0.00011160714285714285
C00224,2,Family,26-35,Biryani,Occasional,1,0.00011160714285714285
C00225,7,Student,26-35,Cafe,Occasional,1,0.00011160714285714285
C00226,10,Young Professional,18-25,Pizza,Occasional,1,0.00011160714285714285
C00227,3,Working Professional,36-45,Healthy,Frequent,4,0.0004464285714285714
C00228,7,Student,26-35,Pizza,Occasional,1,0.00011160714285714285
C00229,10,Young Professional,26-35,Burgers,Frequent,4,0.0004464285714285714
C00230,9,Student,26-35,Burgers,Regular,2,0.0002232142857142857
C00231,4,Young Professional,26-35,Momos,Regular,2,0.0002232142857142857
C00232,1,Young Professional,18-25,Biryani,Regular,2,0.0002232142857142857
C00233,2,Family,18-25,Biryani,Regular,2,0.0002232142857142857
C00234,1,Family,18-25,North Indian,Occasional,1,0.00011160714285714285
C00235,5,Working Professional,36-45,North Indian,Occasional,1,0.00011160714285714285
C00236,5,Young Professional,18-25,Burgers,Regular,2,0.0002232142857142857
C00237,7,Working Professional,18-25,North Indian,Occasional,1,0.00011160714285714285
C00238,9,Family,36-45,Cafe,Occasional,1,0.00011160714285714285
C00239,9,Young Professional,18-25,Biryani,Regular,2,0.0002232142857142857
C00240,3,Young Professional,26-35,Healthy,Occasional,1,0.00011160714285714285
C00241,3,Young Professional,26-35,Cafe,Frequent,4,0.0004464285714285714
C00242,3,Working Professional,18-25,Burgers,Frequent,4,0.0004464285714285714
C00243,4,Young Professional,26-35,Momos,Frequent,4,0.0004464285714285714
C00244,8,Family,18-25,Biryani,Occasional,1,0.00011160714285714285
C00245,6,Young Professional,46-55,South Indian,Occasional,1,0.00011160714285714285
C00246,8,Family,26-35,Biryani,Frequent,4,0.0004464285714285714
C00247,1,Working Professional,18-25,North Indian,Occasional,1,0.00011160714285714285
C00248,8,Working Professional,18-25,Healthy,Frequent,4,0.0004464285714285714
C00249,4,Working Professional,26-35,Chinese,Frequent,4,0.0004464285714285714
C00250,1,Family,18-25,Cafe,Frequent,4,0.0004464285714285714
C00251,8,Working Professional,18-25,South Indian,Occasional,1,0.00011160714285714285
C00252,4,Working Professional,26-35,Cafe,Occasional,1,0.00011160714285714285
C00253,6,Working Professional,46-55,Healthy,Frequent,4,0.0004464285714285714
C00254,8,Young Professional,26-35,Biryani,Occasional,1,0.00011160714285714285
C00255,4,Working Professional,36-45,North Indian,Occasional,1,0.00011160714285714285
C00256,3,Student,46-55,Biryani,Regular,2,0.0002232142857142857
C00257,9,Student,18-25,Pizza,Frequent,4,0.0004464285714285714
C00258,3,Student,36-45,Chinese,Regular,2,0.0002232142857142857
C00259,9,Working Professional,36-45,South Indian,Regular,2,0.0002232142857142857
C00260,2,Student,26-35,Cafe,Occasional,1,0.00011160714285714285
C00261,2,Student,56+,North Indian,Regular,2,0.0002232142857142857
C00262,2,Young Professional,18-25,Cafe,Frequent,4,0.0004464285714285714
C00263,6,Young Professional,18-25,Pizza,Occasional,1,0.00011160714285714285
C00264,3,Working Professional,36-45,Chinese,Regular,2,0.0002232142857142857
C00265,9,Young Professional,26-35,Burgers,Frequent,4,0.0004464285714285714
C00266,4,Student,26-35,Burgers,Regular,2,0.0002232142857142857
C00267,1,Family,18-25,South Indian,Regular,2,0.0002232142857142857
C00268,4,Family,36-45,North Indian,Regular,2,0.0002232142857142857
C00269,1,Working Professional,36-45,Momos,Occasional,1,0.00011160714285714285
