item_id,restaurant_id,cuisine,item_name,category,price,veg_flag,prep_time_min,popularity_score
I0001,R001,Biryani,Chicken Biryani,Main Course,231,Non-Veg,25,54
I0002,R001,Biryani,Mutton Biryani,Main Course,308,Non-Veg,30,32
I0003,R001,Biryani,Egg Biryani,Main Course,165,Non-Veg,22,73
I0004,R001,Biryani,Paneer Biryani,Main Course,217,Veg,22,41
I0005,R001,Biryani,Veg Biryani,Main Course,158,Veg,20,73
I0006,R001,Biryani,Chicken 65,Starter,231,Non-Veg,18,78
I0007,R001,Biryani,Raita,Side,56,Veg,5,86
I0008,R001,Biryani,Biryani Combo,Combo,283,Non-Veg,28,76
I0009,R002,Momos,Veg Momos,Main Course,111,Veg,10,37
I0010,R002,Momos,Chicken Momos,Main Course,159,Non-Veg,12,99
I0011,R002,Momos,Paneer Momos,Main Course,160,Veg,12,41
I0012,R002,Momos,Fried Momos,Main Course,153,Veg,14,55
I0013,R002,Momos,Chicken Fried Momos,Main Course,173,Non-Veg,15,55
I0014,R002,Momos,Tandoori Momos,Main Course,164,Veg,15,39
I0015,R002,Momos,Chilli Momos,Main Course,178,Veg,14,46
I0016,R003,South Indian,Masala Dosa,Main Course,113,Veg,12,36
I0017,R003,South Indian,Plain Dosa,Main Course,82,Veg,10,36
I0018,R003,South Indian,Idli Sambar,Main Course,88,Veg,10,77
I0019,R003,South Indian,Vada Sambar,Main Course,93,Veg,10,88
I0020,R003,South Indian,Paneer Dosa,Main Course,170,Veg,14,68
I0021,R003,South Indian,Uttapam,Main Course,122,Veg,12,88
I0022,R003,South Indian,Filter Coffee,Beverage,78,Veg,5,46
I0023,R004,Healthy,Veg Salad Bowl,Healthy,191,Veg,10,53
I0024,R004,Healthy,Chicken Salad Bowl,Healthy,220,Non-Veg,12,89
I0025,R004,Healthy,Paneer Bowl,Healthy,224,Veg,12,32
I0026,R004,Healthy,Grilled Chicken Bowl,Healthy,279,Non-Veg,18,69
I0027,R004,Healthy,Fruit Bowl,Healthy,152,Veg,8,68
I0028,R004,Healthy,Protein Smoothie,Beverage,176,Veg,8,33
I0029,R004,Healthy,Oats Bowl,Breakfast,154,Veg,10,54
I0030,R005,Desserts,Gulab Jamun,Dessert,98,Veg,8,62
I0031,R005,Desserts,Brownie,Dessert,157,Veg,10,71
I0032,R005,Desserts,Chocolate Cake,Dessert,179,Veg,12,95
I0033,R005,Desserts,Cheesecake,Dessert,199,Veg,15,71
I0034,R005,Desserts,Ice Cream,Dessert,115,Veg,5,42
I0035,R005,Desserts,Chocolate Mousse,Dessert,155,Veg,10,61
I0036,R005,Desserts,Rasmalai,Dessert,136,Veg,8,68
I0037,R006,Burgers,Veg Burger,Main Course,117,Veg,10,58
I0038,R006,Burgers,Paneer Burger,Main Course,186,Veg,12,91
I0039,R006,Burgers,Chicken Burger,Main Course,194,Non-Veg,12,86
I0040,R006,Burgers,Cheese Burger,Main Course,188,Veg,12,39
I0041,R006,Burgers,Double Chicken Burger,Main Course,240,Non-Veg,15,34
I0042,R006,Burgers,French Fries,Side,119,Veg,8,78
I0043,R006,Burgers,Peri Peri Fries,Side,121,Veg,8,43
I0044,R007,North Indian,Butter Chicken,Main Course,273,Non-Veg,25,97
I0045,R007,North Indian,Paneer Butter Masala,Main Course,237,Veg,20,66
I0046,R007,North Indian,Dal Makhani,Main Course,164,Veg,18,94
I0047,R007,North Indian,Chole Bhature,Main Course,180,Veg,15,44
I0048,R007,North Indian,Kadhai Paneer,Main Course,209,Veg,20,97
I0049,R007,North Indian,Chicken Tikka,Starter,229,Non-Veg,20,66
I0050,R007,North Indian,Paneer Tikka,Starter,219,Veg,18,72
I0051,R007,North Indian,Garlic Naan,Bread,73,Veg,8,68
I0052,R007,North Indian,Jeera Rice,Rice,146,Veg,15,75
I0053,R007,North Indian,Gulab Jamun,Dessert,95,Veg,8,91
I0054,R008,Biryani,Chicken Biryani,Main Course,232,Non-Veg,25,54
I0055,R008,Biryani,Mutton Biryani,Main Course,347,Non-Veg,30,33
I0056,R008,Biryani,Egg Biryani,Main Course,172,Non-Veg,22,49
I0057,R008,Biryani,Paneer Biryani,Main Course,211,Veg,22,83
I0058,R008,Biryani,Veg Biryani,Main Course,168,Veg,20,86
I0059,R008,Biryani,Chicken 65,Starter,201,Non-Veg,18,32
I0060,R008,Biryani,Raita,Side,66,Veg,5,34
I0061,R008,Biryani,Biryani Combo,Combo,256,Non-Veg,28,76
I0062,R009,Cafe,Cold Coffee,Beverage,124,Veg,7,38
I0063,R009,Cafe,Cappuccino,Beverage,136,Veg,6,90
I0064,R009,Cafe,Masala Tea,Beverage,68,Veg,5,64
I0065,R009,Cafe,Veg Sandwich,Snack,153,Veg,10,91
I0066,R009,Cafe,Paneer Sandwich,Snack,195,Veg,12,32
I0067,R009,Cafe,Cheese Sandwich,Snack,177,Veg,10,42
I0068,R009,Cafe,Chocolate Brownie,Dessert,143,Veg,10,97
I0069,R009,Cafe,Pasta,Main Course,209,Veg,15,40
I0070,R010,Healthy,Veg Salad Bowl,Healthy,201,Veg,10,96
I0071,R010,Healthy,Chicken Salad Bowl,Healthy,223,Non-Veg,12,58
I0072,R010,Healthy,Paneer Bowl,Healthy,247,Veg,12,54
I0073,R010,Healthy,Grilled Chicken Bowl,Healthy,289,Non-Veg,18,71
I0074,R010,Healthy,Fruit Bowl,Healthy,165,Veg,8,69
I0075,R010,Healthy,Protein Smoothie,Beverage,204,Veg,8,40
I0076,R010,Healthy,Oats Bowl,Breakfast,129,Veg,10,67
I0077,R011,South Indian,Masala Dosa,Main Course,116,Veg,12,34
I0078,R011,South Indian,Plain Dosa,Main Course,82,Veg,10,47
I0079,R011,South Indian,Idli Sambar,Main Course,83,Veg,10,89
I0080,R011,South Indian,Vada Sambar,Main Course,93,Veg,10,57
I0081,R011,South Indian,Paneer Dosa,Main Course,138,Veg,14,69
I0082,R011,South Indian,Uttapam,Main Course,134,Veg,12,91
I0083,R011,South Indian,Filter Coffee,Beverage,73,Veg,5,87
I0084,R012,Healthy,Veg Salad Bowl,Healthy,188,Veg,10,69
I0085,R012,Healthy,Chicken Salad Bowl,Healthy,246,Non-Veg,12,62
I0086,R012,Healthy,Paneer Bowl,Healthy,246,Veg,12,48
I0087,R012,Healthy,Grilled Chicken Bowl,Healthy,290,Non-Veg,18,88
I0088,R012,Healthy,Fruit Bowl,Healthy,168,Veg,8,70
I0089,R012,Healthy,Protein Smoothie,Beverage,177,Veg,8,74
I0090,R012,Healthy,Oats Bowl,Breakfast,150,Veg,10,71
I0091,R013,Desserts,Gulab Jamun,Dessert,83,Veg,8,56
I0092,R013,Desserts,Brownie,Dessert,152,Veg,10,36
I0093,R013,Desserts,Chocolate Cake,Dessert,179,Veg,12,74
I0094,R013,Desserts,Cheesecake,Dessert,246,Veg,15,60
I0095,R013,Desserts,Ice Cream,Dessert,111,Veg,5,39
I0096,R013,Desserts,Chocolate Mousse,Dessert,166,Veg,10,82
I0097,R013,Desserts,Rasmalai,Dessert,130,Veg,8,60
I0098,R014,Pizza,Margherita Pizza,Main Course,198,Veg,15,31
I0099,R014,Pizza,Farmhouse Pizza,Main Course,355,Veg,18,41
I0100,R014,Pizza,Paneer Pizza,Main Course,270,Veg,18,42
I0101,R014,Pizza,Chicken Pizza,Main Course,369,Non-Veg,20,46
I0102,R014,Pizza,Pepperoni Pizza,Main Course,353,Non-Veg,20,89
I0103,R014,Pizza,Garlic Bread,Side,126,Veg,10,64
I0104,R014,Pizza,Cheese Burst Pizza,Main Course,336,Veg,20,59
I0105,R015,North Indian,Butter Chicken,Main Course,253,Non-Veg,25,92
