order_id,customer_id,locality_id,customer_segment,preferred_cuisine,order_date,order_time,restaurant_id,item_id,platform,order_status,customer_rating,item_price,discount_pct,discount_amount,food_amount,delivery_fee,order_value,year,month,month_name,day_of_week,day_name,is_weekend,order_hour,meal_period,item_name,ordered_cuisine,category,veg_flag,price_band
O000001,C01847,9,Family,Momos,2025-05-17,14:12:00,R080,I0617,Swiggy,Failed,,150,5,7.5,142.5,25,167.5,2025,5,May,5,Saturday,Yes,14,Lunch,Chocolate Cake,Desserts,Dessert,Veg,150-200
O000002,C04755,4,Student,Pizza,2025-12-13,23:26:00,R056,I0438,Swiggy,Delivered,5.0,398,25,99.5,298.5,40,338.5,2025,12,December,5,Saturday,Yes,23,Dinner,Cheese Burst Pizza,Pizza,Main Course,Veg,300+
O000003,C03641,4,Student,Biryani,2025-09-25,20:37:00,R149,I1155,Direct,Cancelled,,211,20,42.2,168.8,35,203.8,2025,9,September,3,Thursday,No,20,Dinner,Chicken 65,Biryani,Starter,Non-Veg,200-250
O000004,C02965,10,Young Professional,Pizza,2025-08-07,19:32:00,R045,I0353,Zomato,Delivered,5.0,101,15,15.15,85.85,30,115.85,2025,8,August,3,Thursday,No,19,Dinner,Vada Sambar,South Indian,Main Course,Veg,100-150
O000005,C00768,6,Young Professional,Pizza,2025-02-27,11:05:00,R079,I0607,Swiggy,Cancelled,,136,30,40.8,95.2,25,120.2,2025,2,February,3,Thursday,No,11,Breakfast,Cold Coffee,Cafe,Beverage,Veg,100-150
O000006,C00768,6,Young Professional,Pizza,2025-02-27,11:12:00,R100,I0770,Swiggy,Delivered,5.0,176,25,44.0,132.0,25,157.0,2025,2,February,3,Thursday,No,11,Breakfast,Dal Makhani,North Indian,Main Course,Veg,150-200
O000007,C00280,7,Young Professional,Cafe,2025-01-22,08:12:00,R123,I0944,Swiggy,Delivered,5.0,191,10,19.1,171.9,20,191.9,2025,1,January,2,Wednesday,No,8,Breakfast,Veg Salad Bowl,Healthy,Healthy,Veg,150-200
O000008,C04328,8,Student,Momos,2025-11-13,22:12:00,R067,I0522,Zomato,Delivered,4.0,135,40,54.0,81.0,35,116.0,2025,11,November,3,Thursday,No,22,Dinner,Oats Bowl,Healthy,Breakfast,Veg,100-150
O000009,C02977,6,Young Professional,Biryani,2025-08-08,19:19:00,R104,I0802,Swiggy,Delivered,3.0,274,0,0.0,274.0,30,304.0,2025,8,August,4,Friday,No,19,Dinner,Grilled Chicken Bowl,Healthy,Healthy,Non-Veg,300+
O000010,C03511,10,Young Professional,Biryani,2025-09-16,20:35:00,R055,I0429,Zomato,Delivered,5.0,234,5,11.7,222.3,35,257.3,2025,9,September,1,Tuesday,No,20,Dinner,Chicken 65,Biryani,Starter,Non-Veg,250-300
