restaurant_id,locality_id,cuisine,rating,review_count,avg_order_value,avg_delivery_time_min,discount_pct,platform,estimated_monthly_orders
R001,7,Biryani,4.8,4182,431,41,20,Swiggy,1871
R002,4,Momos,3.6,3901,212,53,20,Zomato,1404
R003,8,South Indian,4.1,3490,366,27,10,Swiggy,1760
R004,5,Healthy,4.1,3816,610,59,30,Swiggy,1485
R005,7,Desserts,4.9,2376,254,38,0,Swiggy,1571
R006,10,Burgers,3.1,2964,248,60,25,Zomato,1207
R007,3,North Indian,3.6,4002,660,56,15,Direct,1316
R008,7,Biryani,3.4,645,534,25,25,Zomato,1766
R009,8,Cafe,3.5,778,554,45,5,Zomato,1183
R010,5,Healthy,3.9,1415,667,53,5,Zomato,1145
R011,4,South Indian,3.7,4542,625,25,20,Zomato,1874
R012,8,Healthy,3.7,748,586,56,10,Swiggy,1090
R013,8,Desserts,4.6,445,172,52,5,Swiggy,1270
R014,3,Pizza,4.8,4221,607,41,0,Swiggy,1609
R015,6,North Indian,3.1,4410,232,40,25,Swiggy,1608
R016,5,North Indian,3.4,2552,294,25,25,Swiggy,1834
R017,2,Cafe,4.3,1869,234,25,20,Zomato,1887
R018,8,Pizza,3.7,767,227,23,30,Swiggy,1899
R019,6,Momos,3.5,2832,606,49,30,Zomato,1525
R020,2,Chinese,3.6,4996,150,30,15,Zomato,1764
R021,5,Biryani,3.6,3627,200,49,20,Swiggy,1481
R022,1,North Indian,4.6,193,595,50,40,Zomato,1760
R023,10,Burgers,3.3,3190,598,43,15,Zomato,1408
R024,6,North Indian,4.3,4541,637,28,40,Swiggy,2226
R025,9,Healthy,4.1,2988,183,22,30,Zomato,2044
R026,1,North Indian,3.6,3686,497,50,20,Zomato,1459
R027,10,North Indian,3.8,3272,244,59,40,Zomato,1579
R028,3,Chinese,3.5,1217,221,56,20,Zomato,1237
R029,7,Chinese,4.2,2666,700,55,20,Zomato,1451
R030,4,South Indian,3.2,1112,303,43,30,Zomato,1468
R031,9,Momos,3.0,2206,399,50,15,Swiggy,1204
R032,3,Burgers,4.2,3032,587,25,15,Swiggy,1869
R033,5,North Indian,3.4,3344,267,21,20,Swiggy,1870
R034,3,North Indian,3.1,4779,455,39,5,Zomato,1399
R035,7,Biryani,3.8,1206,417,47,10,Swiggy,1336
R036,5,Chinese,3.1,782,203,30,30,Zomato,1675
R037,9,Burgers,4.7,4380,385,23,10,Zomato,1995
R038,7,Cafe,3.1,4896,538,34,10,Zomato,1504
R039,2,South Indian,4.1,1003,550,25,15,Direct,1752
R040,4,Momos,3.8,2589,452,49,15,Zomato,1396
R041,9,Pizza,4.3,3374,356,57,5,Zomato,1279
R042,2,Momos,3.6,3351,378,21,10,Swiggy,1774
R043,10,Healthy,3.3,1592,224,34,10,Zomato,1396
R044,9,North Indian,4.9,1241,584,30,20,Swiggy,1942
R045,10,South Indian,4.6,3043,252,27,15,Swiggy,1902
R046,5,Healthy,4.6,2731,571,45,10,Zomato,1525
R047,2,Burgers,3.5,1267,455,24,25,Zomato,1795
R048,4,Pizza,3.1,1590,247,25,5,Swiggy,1480
R049,7,Chinese,3.6,3286,484,45,40,Zomato,1755
R050,8,South Indian,4.0,2436,584,23,25,Zomato,1941
R051,3,South Indian,3.6,3769,596,38,25,Zomato,1675
R052,1,North Indian,4.6,1438,457,39,40,Zomato,1986
R053,4,Desserts,3.5,1906,398,52,30,Zomato,1408
R054,2,South Indian,4.8,1415,315,39,30,Direct,1865
R055,8,Biryani,3.9,549,630,31,5,Zomato,1526
R056,4,Pizza,4.6,1730,484,20,25,Zomato,2105
R057,2,Pizza,3.4,560,691,45,10,Direct,1238
R058,6,Biryani,3.8,4362,255,33,15,Direct,1746
R059,6,Cafe,4.3,1374,230,57,5,Swiggy,1175
R060,10,Biryani,3.3,1205,282,56,20,Swiggy,1212
R061,4,Biryani,3.3,1877,287,30,40,Swiggy,1895
R062,6,Pizza,4.8,3191,333,55,25,Swiggy,1644
R063,2,Momos,4.4,3536,550,32,5,Zomato,1705
R064,10,Pizza,3.1,1860,479,22,0,Zomato,1478
R065,2,Desserts,3.8,2973,657,52,0,Zomato,1151
R066,10,North Indian,3.8,2264,218,25,30,Swiggy,1963
R067,4,Healthy,4.4,4236,695,29,40,Zomato,2161
R068,8,Momos,3.5,763,202,24,15,Zomato,1663
R069,7,Chinese,3.4,3652,599,42,10,Zomato,1418
R070,9,Healthy,3.2,4184,354,29,15,Direct,1619
R071,8,North Indian,3.8,3572,275,21,15,Zomato,1899
R072,5,Desserts,4.3,4318,192,32,15,Swiggy,1805
R073,2,Desserts,3.1,4798,260,59,40,Zomato,1452
R074,5,Chinese,4.7,4899,332,21,15,Swiggy,2124
R075,8,Momos,3.8,1293,244,39,20,Swiggy,1564
R076,10,Cafe,3.5,3759,523,20,40,Zomato,2122
R077,9,Biryani,3.2,1131,669,56,20,Swiggy,1189
R078,9,Momos,3.3,505,509,28,40,Zomato,1848
R079,1,Cafe,4.8,4974,430,36,30,Swiggy,2055
R080,9,Desserts,4.2,944,344,28,5,Zomato,1594
R081,7,Pizza,4.0,1434,344,30,0,Swiggy,1513
R082,9,North Indian,4.2,2008,242,34,15,Direct,1708
R083,8,Chinese,3.8,3122,210,43,30,Zomato,1701
R084,1,North Indian,4.4,2046,200,57,5,Swiggy,1262
R085,8,Burgers,3.1,4335,552,54,0,Zomato,1057
R086,8,Burgers,4.1,554,154,49,25,Direct,1486
R087,3,Momos,3.3,1264,615,50,10,Zomato,1167
R088,1,Desserts,3.2,1581,683,24,20,Swiggy,1663
R089,8,Desserts,3.6,3490,554,33,25,Zomato,1736
R090,3,Biryani,3.2,873,662,30,40,Zomato,1835
R091,3,Biryani,3.2,978,382,28,0,Zomato,1391
